,theta,phi,flux,std
0,194.582,1.139,7091.294494999999,143.3121875159858
1,254.752,10.945,7357.039041999999,179.70654471515843
2,192.506,100.056,10152.688499,902.4732801725689
3,138.521,100.311,9411.667007999999,900.3101842570703
4,229.478,100.365,10540.696471000001,892.0764878420731
5,129.184,100.651,9370.623375,894.8266366279887
6,55.088,100.689,10180.473086,889.9577135564928
7,111.561,100.68,9390.975602000002,896.3446764273534
8,62.881,100.945,10020.421103,903.6223417861672
9,5.441,100.969,10902.130181999999,835.4567238640165
10,97.92,101.088,9485.54019,903.4817247861031
11,203.509,101.126,10306.487549,886.8071192873058
12,175.608,101.38,9847.429768,913.8173203282104
13,215.523,101.399,10433.39284,884.3804079462043
14,244.414,101.484,10606.222816000001,881.1697238179012
15,86.346,101.487,9617.839693,909.306718766137
16,330.428,101.577,10927.644781,872.5501741088354
17,158.221,101.662,9585.313058,909.2373340491099
18,236.409,101.662,10562.958962999997,885.7033296915471
19,348.493,101.898,10927.306467,864.9569786039656
20,16.122,102.337,10817.955631,807.4516070263343
21,303.501,102.592,10852.800755,849.3338516162792
22,40.049,102.731,10464.845367999998,837.4972897487883
23,322.475,102.959,10895.786033999999,862.8581730343067
24,27.475,103.044,10676.546548000002,804.0759353692315
25,186.078,103.15,10006.942034000002,898.783930814484
26,313.652,103.448,10868.825520999999,853.8671116132808
27,271.172,103.548,10706.723992,846.3968428672829
28,150.851,103.578,9480.356022000002,896.2994333265248
29,358.995,103.942,10879.285698,838.9290348401814
30,284.396,103.973,10758.901318,837.8924425398618
31,262.503,104.009,10658.413505,852.3593324598338
32,168.993,104.087,9709.996931000001,903.0794736473645
33,124.014,104.136,9330.087943,880.1151024422735
34,221.141,104.26,10437.14239,874.3239197638469
35,341.633,104.327,10891.553624,860.4833173777329
36,196.883,104.411,10168.569571,879.6838041761811
37,68.442,104.628,9871.05809,894.8366966519541
38,250.139,104.658,10588.214560999999,862.238361141389
39,297.697,104.847,10795.829398000002,836.2347099970368
40,142.863,104.84,9394.836154999999,884.7242328876941
41,208.39,104.911,10313.367556,868.8365675018131
42,46.086,105.043,10309.19942,847.7970059474992
43,134.048,105.176,9340.057123,877.9130354577682
44,80.913,105.409,9650.858125999997,894.405719218511
45,277.37,105.438,10702.947567000001,833.5800258670957
46,291.29,105.493,10760.236488,830.9500290211503
47,9.63,105.542,10810.014147999998,806.7196771173468
48,256.401,105.649,10601.533267,850.9210351684045
49,105.032,105.661,9376.502395999998,879.3306181264875
50,90.752,105.836,9511.138126,888.0375318255175
51,179.582,106.149,9853.310064,890.0760047539555
52,74.673,106.245,9738.856447999999,890.1042208288399
53,334.352,106.316,10851.648045,852.2385702487901
54,227.339,106.333,10441.503048999999,865.4034897779358
55,118.164,106.374,9307.918944999998,869.8490243097648
56,52.759,106.387,10150.878054,860.3695954886034
57,60.144,106.437,10002.168215000002,875.7017916975918
58,162.065,106.475,9577.188428000001,889.1125403998929
59,32.664,106.488,10536.983547999998,799.7571567353253
60,20.726,106.489,10701.570836,786.2566366891717
61,352.372,106.73,10839.921740000002,837.6496586714267
62,241.695,107.027,10504.597273,857.1684276754107
63,111.774,107.04,9319.688288,868.4532610660028
64,234.17,107.372,10459.528494999999,859.0360349425102
65,97.54,107.408,9415.411079000001,875.2815534837542
66,308.577,107.462,10779.516194,830.3728532904872
67,326.524,107.682,10814.253361,842.4675457662634
68,190.35,107.684,10009.962854000001,870.8792679217274
69,318.006,108.184,10787.483923,833.9921959103893
70,213.733,108.204,10307.734635000003,851.3136838242262
71,154.708,108.395,9456.997330999999,873.9769552136729
72,201.613,108.475,10165.746925999998,853.566474634361
73,3.089,108.655,10773.782582999998,805.866260044018
74,267.422,108.755,10590.772022999998,822.9801655400624
75,172.887,108.94,9697.062844,876.7018668162574
76,128.845,109.153,9268.344464,854.5196642874714
77,345.45,109.21,10790.694069,831.7924714173269
78,38.359,109.335,10378.278973999999,801.0768772349718
79,146.809,109.662,9357.758490999999,860.7030366321599
80,14.112,109.92,10685.253175999998,775.0488398497989
81,42.262,11.244,7319.506334999999,172.65228400940094
82,6.126,11.36,7416.005835999999,174.81051636247497
83,283.449,110.001,10631.604589,806.3027468316295
84,138.247,110.034,9290.121984000001,852.9628726116259
85,25.742,110.274,10556.587129999998,768.370510001871
86,86.353,110.309,9496.704451000001,864.8539851894627
87,302.817,110.382,10693.708062,809.0887929394547
88,66.359,110.537,9810.154342,860.0865451184696
89,248.053,110.662,10456.427052,829.9528055825386
90,183.746,110.844,9837.559513,858.5107821007036
91,219.596,110.859,10296.644964,836.1655891350272
92,274.898,111.039,10569.244191,803.2334927676748
93,338.12,111.239,10739.002145,822.7629052639277
94,165.874,111.399,9545.610219,860.1256545565893
95,44.597,111.413,10211.785252,808.1554244464635
96,356.359,111.568,10718.254044999998,801.8546233127001
97,261.727,111.628,10495.314307,810.1249591548158
98,103.456,111.656,9294.807442,845.2738611740291
99,289.944,111.952,10606.641708000001,793.5329414139965
100,296.518,111.968,10630.383084999998,795.3598103030846
101,122.962,112.03,9213.47137,835.2938430024844
102,194.953,112.0,9992.639406000002,837.9400337701649
103,206.785,112.141,10147.094565,826.9969835848052
104,254.981,112.255,10448.094595999999,812.4789171274351
105,58.644,112.351,9915.231861999999,837.193573332421
106,51.374,112.51,10052.536681,820.1856094969128
107,80.247,112.594,9537.605526,851.3388690075855
108,330.287,112.641,10693.678513,812.7422448392985
109,73.296,112.657,9645.11136,850.265389285094
110,94.363,112.692,9356.328752000001,844.2260587828868
111,226.001,112.694,10292.009080000002,824.9010464506144
112,312.774,112.6,10662.154124999997,801.9568732127746
113,240.294,112.955,10360.310818999998,819.7804281946155
114,321.868,113.195,10664.694432999999,804.5883260719213
115,7.449,113.24,10634.954041000003,767.0788485752224
