,theta,phi,flux,std
0,194.582,1.139,0.0,0.0
1,254.752,10.945,0.0,0.0
2,192.506,100.056,0.0,0.0
3,138.521,100.311,0.0,0.0
4,229.478,100.365,0.0,0.0
5,129.184,100.651,0.0,0.0
6,55.088,100.689,0.0,0.0
7,111.561,100.68,0.0,0.0
8,62.881,100.945,0.0,0.0
9,5.441,100.969,0.0,0.0
10,97.92,101.088,0.0,0.0
11,203.509,101.126,0.0,0.0
12,175.608,101.38,0.0,0.0
13,215.523,101.399,0.0,0.0
14,244.414,101.484,0.0,0.0
15,86.346,101.487,0.0,0.0
16,330.428,101.577,0.0,0.0
17,158.221,101.662,0.0,0.0
18,236.409,101.662,0.0,0.0
19,348.493,101.898,0.0,0.0
20,16.122,102.337,0.0,0.0
21,303.501,102.592,0.0,0.0
22,40.049,102.731,0.0,0.0
23,322.475,102.959,0.0,0.0
24,27.475,103.044,0.0,0.0
25,186.078,103.15,0.0,0.0
26,313.652,103.448,0.0,0.0
27,271.172,103.548,0.0,0.0
28,150.851,103.578,0.0,0.0
29,358.995,103.942,0.0,0.0
30,284.396,103.973,0.0,0.0
31,262.503,104.009,0.0,0.0
32,168.993,104.087,0.0,0.0
33,124.014,104.136,0.0,0.0
34,221.141,104.26,0.0,0.0
35,341.633,104.327,0.0,0.0
36,196.883,104.411,0.0,0.0
37,68.442,104.628,0.0,0.0
38,250.139,104.658,0.0,0.0
39,297.697,104.847,0.0,0.0
40,142.863,104.84,0.0,0.0
41,208.39,104.911,0.0,0.0
42,46.086,105.043,0.0,0.0
43,134.048,105.176,0.0,0.0
44,80.913,105.409,0.0,0.0
45,277.37,105.438,0.0,0.0
46,291.29,105.493,0.0,0.0
47,9.63,105.542,0.0,0.0
48,256.401,105.649,0.0,0.0
49,105.032,105.661,0.0,0.0
50,90.752,105.836,0.0,0.0
51,179.582,106.149,0.0,0.0
52,74.673,106.245,0.0,0.0
53,334.352,106.316,0.0,0.0
54,227.339,106.333,0.0,0.0
55,118.164,106.374,0.0,0.0
56,52.759,106.387,0.0,0.0
57,60.144,106.437,0.0,0.0
58,162.065,106.475,0.0,0.0
59,32.664,106.488,0.0,0.0
60,20.726,106.489,0.0,0.0
61,352.372,106.73,0.0,0.0
62,241.695,107.027,0.0,0.0
63,111.774,107.04,0.0,0.0
64,234.17,107.372,0.0,0.0
65,97.54,107.408,0.0,0.0
66,308.577,107.462,0.0,0.0
67,326.524,107.682,0.0,0.0
68,190.35,107.684,0.0,0.0
69,318.006,108.184,0.0,0.0
70,213.733,108.204,0.0,0.0
71,154.708,108.395,0.0,0.0
72,201.613,108.475,0.0,0.0
73,3.089,108.655,0.0,0.0
74,267.422,108.755,0.0,0.0
75,172.887,108.94,0.0,0.0
76,128.845,109.153,0.0,0.0
77,345.45,109.21,0.0,0.0
78,38.359,109.335,0.0,0.0
79,146.809,109.662,0.0,0.0
80,14.112,109.92,0.0,0.0
81,42.262,11.244,0.0,0.0
82,6.126,11.36,0.0,0.0
83,283.449,110.001,0.0,0.0
84,138.247,110.034,0.0,0.0
85,25.742,110.274,0.0,0.0
86,86.353,110.309,0.0,0.0
87,302.817,110.382,0.0,0.0
88,66.359,110.537,0.0,0.0
89,248.053,110.662,0.0,0.0
90,183.746,110.844,0.0,0.0
91,219.596,110.859,0.0,0.0
92,274.898,111.039,0.0,0.0
93,338.12,111.239,0.0,0.0
94,165.874,111.399,0.0,0.0
95,44.597,111.413,0.0,0.0
96,356.359,111.568,0.0,0.0
97,261.727,111.628,0.0,0.0
98,103.456,111.656,0.0,0.0
99,289.944,111.952,0.0,0.0
100,296.518,111.968,0.0,0.0
101,122.962,112.03,0.0,0.0
102,194.953,112.0,0.0,0.0
103,206.785,112.141,0.0,0.0
104,254.981,112.255,0.0,0.0
105,58.644,112.351,0.0,0.0
106,51.374,112.51,0.0,0.0
107,80.247,112.594,0.0,0.0
108,330.287,112.641,0.0,0.0
109,73.296,112.657,0.0,0.0
110,94.363,112.692,0.0,0.0
111,226.001,112.694,0.0,0.0
112,312.774,112.6,0.0,0.0
113,240.294,112.955,0.0,0.0
114,321.868,113.195,0.0,0.0
115,7.449,113.24,0.0,0.0
116,158.438,113.379,0.0,0.0
117,232.924,113.488,0.0,0.0
118,109.929,113.543,0.0,0.0
119,31.248,113.569,0.0,0.0
120,116.56,113.574,0.0,0.0
121,176.927,113.782,0.0,0.0
122,18.993,114.011,0.0,0.0
123,349.315,114.158,0.0,0.0
124,132.847,114.405,0.0,0.0
125,150.494,114.701,0.0,0.0
126,141.982,115.142,0.0,0.0
127,212.473,115.279,0.0,0.0
128,270.055,115.324,0.0,0.0
129,188.218,115.391,0.0,0.0
130,280.134,115.583,0.0,0.0
131,306.791,116.009,0.0,0.0
132,199.993,116.0,0.0,0.0
133,37.296,116.228,0.0,0.0
134,341.852,116.283,0.0,0.0
135,0.576,116.342,0.0,0.0
136,169.767,116.372,0.0,0.0
137,65.827,116.591,0.0,0.0
138,88.953,116.614,0.0,0.0
139,247.622,116.737,0.0,0.0
140,99.555,117.098,0.0,0.0
141,12.195,117.612,0.0,0.0
142,24.373,117.703,0.0,0.0
143,218.713,117.736,0.0,0.0
144,126.682,117.752,0.0,0.0
145,333.891,117.771,0.0,0.0
146,316.363,117.946,0.0,0.0
147,263.381,117.9,0.0,0.0
148,43.883,118.078,0.0,0.0
149,286.411,118.143,0.0,0.0
