,theta,phi,flux,std
0,194.582,1.139,1673.2271661631742,54.10511885543042
1,254.752,10.945,1661.5533988340403,103.4292454348861
2,192.506,100.056,1714.3459712949252,444.8632210146716
3,138.521,100.311,1826.7971991135,477.3461389632685
4,229.478,100.365,1748.7158182322112,449.46299521686126
5,129.184,100.651,1856.288451845517,477.0795731568584
6,55.088,100.689,1947.4469777519091,467.9964200090584
7,111.561,100.68,1903.4231475488002,473.0542147491283
8,62.881,100.945,1942.292486291729,467.96198811930554
9,5.441,100.969,1975.806944860239,464.9891748601637
10,97.92,101.088,1921.69430204613,469.8538683540145
11,203.509,101.126,1710.666815524045,440.13596172737607
12,175.608,101.38,1725.983861127573,452.981634105314
13,215.523,101.399,1720.079183137317,441.0109474769101
14,244.414,101.484,1784.8824632092399,457.54304010623156
15,86.346,101.487,1929.5208873056201,468.32771603393536
16,330.428,101.577,1987.27188463183,462.7758436421304
17,158.221,101.662,1761.460793498495,465.69062322203797
18,236.409,101.662,1760.8326588204548,451.6403567914628
19,348.493,101.898,1980.8498169104184,462.89295607302864
20,16.122,102.337,1963.2759826749873,462.6699500041397
21,303.501,102.592,1967.90137397957,462.27169814527434
22,40.049,102.731,1946.8001260205922,463.0368379977079
23,322.475,102.959,1980.0986326422194,459.89432054806883
24,27.475,103.044,1952.895253529261,461.6595796398118
25,186.078,103.15,1706.67809502183,442.461829491551
26,313.652,103.448,1973.7322101756329,459.1125629632375
27,271.172,103.548,1871.28585571928,465.56847315018683
28,150.851,103.578,1774.2482426036502,466.34898097606606
29,358.995,103.942,1964.951395649295,458.63925322696264
30,284.396,103.973,1914.6555638103498,463.6650204414734
31,262.503,104.009,1836.45893308773,462.20352142774516
32,168.993,104.087,1726.7490386424304,452.6101029362758
33,124.014,104.136,1855.8970523254497,469.1495343003598
34,221.141,104.26,1716.641457947565,437.2525192988986
35,341.633,104.327,1970.0585130693303,457.1429544716962
36,196.883,104.411,1696.29508359518,434.8204775991389
37,68.442,104.628,1921.7413212979072,460.37010245968935
38,250.139,104.658,1789.1345718826299,454.29611970323504
39,297.697,104.847,1944.4232815895223,458.34408107920007
40,142.863,104.84,1792.9959879972203,466.8284548345878
41,208.39,104.911,1698.174760612416,432.40677821530096
42,46.086,105.043,1931.210961644796,458.03916276016207
43,134.048,105.176,1819.5773211665,467.5579191510104
44,80.913,105.409,1912.6139488210702,459.384249048575
45,277.37,105.438,1883.3084915506797,461.14536525231995
46,291.29,105.493,1925.7759459819963,458.2908193214056
47,9.63,105.542,1949.6465622525068,454.8640277672322
48,256.401,105.649,1805.7927007125202,455.3510414260565
49,105.032,105.661,1889.03222678061,461.0903298934929
50,90.752,105.836,1903.96408528783,458.90336147723656
51,179.582,106.149,1700.2968277836628,439.76945766368624
52,74.673,106.245,1910.8241202839288,456.9226300057195
53,334.352,106.316,1959.3886086649898,451.7061700341525
54,227.339,106.333,1718.27681617408,435.2851964390528
55,118.164,106.374,1859.198862255686,462.30117851997414
56,52.759,106.387,1919.6561474439718,454.99472310790406
57,60.144,106.437,1915.7686375223939,455.31837555168585
58,162.065,106.475,1730.844808915838,452.0660607991738
59,32.664,106.488,1930.781600326376,453.43659020059806
60,20.726,106.489,1937.7391032469088,452.8120148376895
61,352.372,106.73,1951.2303856074168,451.1749881057653
62,241.695,107.027,1750.4790510566722,442.5825409248434
63,111.774,107.04,1869.1546158720698,458.9392121361359
64,234.17,107.372,1728.4183243066,436.64912592307024
65,97.54,107.408,1887.6466338444602,455.29183854923804
66,308.577,107.462,1943.01165236346,449.3694234066055
67,326.524,107.682,1950.7976894594797,447.65255580542686
68,190.35,107.684,1683.1442918850894,429.3580662191351
69,318.006,108.184,1945.18441729396,446.4194850877356
70,213.733,108.204,1687.1936677920532,424.7176630764912
71,154.708,108.395,1739.5371093641902,451.6895099345239
72,201.613,108.475,1677.3464036238358,423.4554972674711
73,3.089,108.655,1933.3192081110399,445.7563055362006
74,267.422,108.755,1827.1943528574302,450.5002929466524
75,172.887,108.94,1696.2956177254428,437.06858224935525
76,128.845,109.153,1812.4920721066499,456.3044568643419
77,345.45,109.21,1937.65853515173,443.6171668379831
78,38.359,109.335,1909.4749823180898,445.4110768412871
79,146.809,109.662,1755.05236303659,451.87165350241634
80,14.112,109.92,1919.073663403785,442.2123690665252
81,42.262,11.244,1687.53127659868,99.94046764759054
82,6.126,11.36,1691.6901666308602,102.60925855712823
83,283.449,110.001,1872.72439424763,446.93794673292706
84,138.247,110.034,1778.77591449129,453.17973007442635
85,25.742,110.274,1910.229013581741,441.62544794122874
86,86.353,110.309,1878.2794430256197,445.570940350844
87,302.817,110.382,1913.8467502832968,441.3261383302458
88,66.359,110.537,1886.5082859825873,443.3012769910646
89,248.053,110.662,1748.9172673618316,435.5794592218618
90,183.746,110.844,1671.6275457525471,423.75390505606146
91,219.596,110.859,1680.5644559862233,418.57860159975826
92,274.898,111.039,1837.6624196917899,443.90594315038356
93,338.12,111.239,1924.30695691597,436.5714924615439
94,165.874,111.399,1696.303875533251,434.6584827103033
95,44.597,111.413,1891.8122221400188,438.94157723749174
96,356.359,111.568,1916.1727138290762,436.0682817410964
97,261.727,111.628,1788.22945020489,439.11860226442843
98,103.456,111.656,1851.21345710402,443.153199604191
99,289.944,111.952,1875.3140631165797,438.7202345171587
100,296.518,111.968,1890.13184119236,437.2491281538406
101,122.962,112.03,1809.6817530137398,446.04433534064225
102,194.953,112.0,1658.4569278421438,414.5280641760752
103,206.785,112.141,1659.825918389436,411.88720969035705
104,254.981,112.255,1761.17426270307,433.93890046419506
105,58.644,112.351,1877.712598102751,436.58740094031083
106,51.374,112.51,1880.268529082188,435.52307002976005
107,80.247,112.594,1865.82957543957,437.3489234679177
108,330.287,112.641,1913.7955461797503,431.35303804785116
109,73.296,112.657,1869.0403264586753,436.6884062940665
110,94.363,112.692,1854.64574066439,438.2797665000691
111,226.001,112.694,1680.7183591722958,415.27204961308354
112,312.774,112.6,1907.544926923603,432.2633621325189
113,240.294,112.955,1712.158667711246,422.7633544153881
114,321.868,113.195,1907.9854442252101,429.4866200564964
115,7.449,113.24,1898.26545552887,430.295127946061
116,158.438,113.379,1701.5370816412833,432.9308471047464
117,232.924,113.488,1690.3166196741918,416.2951089509182
118,109.929,113.543,1826.95160602168,437.8409017117215
119,31.248,113.569,1883.637190631509,430.29659789414046
120,116.56,113.574,1813.7129382319401,439.21852441789616
121,176.927,113.782,1663.0968893809418,418.36461924186773
122,18.993,114.011,1886.709179931147,427.9128932139918
123,349.315,114.158,1899.2160568666027,426.31869515306073
124,132.847,114.405,1765.8245145304197,438.13225276333117
125,150.494,114.701,1713.7500681113702,432.48969146600507
126,141.982,115.142,1734.6354782705303,433.94584323169323
127,212.473,115.279,1646.099580936844,401.3714179656025
128,270.055,115.324,1789.87961120813,427.1450378242145
129,188.218,115.391,1641.9350683133991,405.556146244374
130,280.134,115.583,1819.3943267647799,426.5084575778982
131,306.791,116.009,1872.08985986996,420.00164446608295
132,199.993,116.0,1634.9590021838271,398.882797381614
133,37.296,116.228,1860.0840154971222,420.14323172849384
134,341.852,116.283,1883.5359283434902,417.44537057675166
135,0.576,116.342,1876.7144168032353,417.6762065849406
136,169.767,116.372,1659.3578351229637,413.7319986461737
