,theta,phi,flux,std
0,194.582,1.139,3172.5856338000003,113.51889711699222
1,254.752,10.945,3453.8363222999997,159.2732991838872
2,192.506,100.056,4988.287834819999,615.0887149074136
3,138.521,100.311,4594.54376367,575.2723840131285
4,229.478,100.365,5331.207983600001,646.4129608540736
5,129.184,100.651,4581.68568038,571.7075721484811
6,55.088,100.689,5138.916019899999,583.2335361519126
7,111.561,100.68,4614.30596818,573.8447470270168
8,62.881,100.945,5035.094734819999,587.5025801236728
9,5.441,100.969,5681.03669038,607.9510235269876
10,97.92,101.088,4683.87710773,579.4826255630209
11,203.509,101.126,5077.148985310002,620.9946077869031
12,175.608,101.38,4827.118861749999,601.6703264440795
13,215.523,101.399,5192.232527049999,630.8771513476264
14,244.414,101.484,5437.08225935,652.8286586694563
15,86.346,101.487,4772.841978610001,584.6383699766964
16,330.428,101.577,5796.97141353,671.5305688148752
17,158.221,101.662,4677.659039920001,586.4666478383751
18,236.409,101.662,5376.69577003,648.3437620041615
19,348.493,101.898,5757.7823550699995,645.7332274261892
20,16.122,102.337,5572.3692646499985,590.1577465149917
21,303.501,102.592,5763.291791639998,672.6436707310191
22,40.049,102.731,5312.043140309999,571.7713424493355
23,322.475,102.959,5786.63830373,672.1906958883322
24,27.475,103.044,5446.49609208,579.1253688868256
25,186.078,103.15,4913.78582947,604.058354833471
26,313.652,103.448,5774.663199840001,672.0345993017457
27,271.172,103.548,5603.12479439,656.829201581569
28,150.851,103.578,4620.678593000001,575.834678540987
29,358.995,103.942,5695.31353607,615.4859368539514
30,284.396,103.973,5673.786311250001,661.0369989536607
31,262.503,104.009,5542.004119509999,652.4251680502103
32,168.993,104.087,4746.467162289999,589.9373264695649
33,124.014,104.136,4561.3893666700005,563.7339201519392
34,221.141,104.26,5225.16677175,628.7192630521951
35,341.633,104.327,5751.498620390001,651.2262809302418
36,196.883,104.411,4994.972090570001,607.5646756657782
37,68.442,104.628,4938.1544714699985,580.626275783076
38,250.139,104.658,5449.288523980001,646.2348222297747
39,297.697,104.847,5720.47382785,663.9844953088237
40,142.863,104.84,4576.94221584,567.2510624179696
41,208.39,104.911,5093.938178359999,615.1638650192718
42,46.086,105.043,5219.57116049,566.8685808839757
