,theta,phi,flux,std
0,194.582,1.139,386.0307756697,29.40895907887239
1,254.752,10.945,402.6810693169,59.32283069105892
2,192.506,100.056,526.5726046274499,202.3481942302506
3,138.521,100.311,517.924944403116,200.90356174483384
4,229.478,100.365,590.6269058674002,224.20484209691358
5,129.184,100.651,525.6003576305999,200.19152521866792
6,55.088,100.689,597.1246538567001,211.17472379769754
7,111.561,100.68,541.3092120053001,198.17749557996314
8,62.881,100.945,585.8190313740599,207.73304782761375
9,5.441,100.969,678.06187081831,235.127380958866
10,97.92,101.088,551.347328416322,198.32796360171042
11,203.509,101.126,539.9212591352,206.15828706030175
12,175.608,101.38,510.55601560399,198.5869033491216
13,215.523,101.399,560.3422048831,213.28272180220924
14,244.414,101.484,623.2856882530601,235.06093759645577
15,86.346,101.487,559.6890785812,199.9832679769195
16,330.428,101.577,722.9001672178559,247.41162193050982
17,158.221,101.662,506.53983622012294,198.88776015113586
18,236.409,101.662,603.99315482436,228.6523449264868
19,348.493,101.898,701.2075560668499,241.25325589026605
20,16.122,102.337,657.4703471179602,228.8140397047996
21,303.501,102.592,728.4841829764,250.1513795266135
22,40.049,102.731,616.6562882247997,216.54359657311232
23,322.475,102.959,725.1551989548663,247.56201509626746
24,27.475,103.044,636.7964170064,222.50243688964153
25,186.078,103.15,515.3225556096199,198.4436028828145
26,313.652,103.448,727.1653624424,248.2486303917235
27,271.172,103.548,681.751418921763,247.88255019154013
28,150.851,103.578,505.5362288604781,198.02370700331994
29,358.995,103.942,681.1786226588001,234.95354987224033
30,284.396,103.973,705.8241795216456,249.58490303568715
31,262.503,104.009,660.9328249423102,243.8626683749826
32,168.993,104.087,503.33946086682,196.209513143248
33,124.014,104.136,524.4486134035001,196.74261340265255
34,221.141,104.26,565.8617534181001,214.6039272269899
35,341.633,104.327,703.6090540106741,240.8927342655035
36,196.883,104.411,524.49276513458,200.23209318430193
37,68.442,104.628,571.8689980300302,202.40495634872065
38,250.139,104.658,629.87755623486,235.75040479694448
39,297.697,104.847,718.4523383463999,247.86232013798266
40,142.863,104.84,507.4637079610483,197.182928719552
41,208.39,104.911,540.7295604801999,205.33743031744297
42,46.086,105.043,601.8446047474,211.23916219197386
43,134.048,105.176,513.6634474699,196.75843309582427
44,80.913,105.409,557.06701077992,197.76011325917744
45,277.37,105.438,689.4642274164812,247.01666646036244
46,291.29,105.493,710.6754380906999,247.5660105678757
47,9.63,105.542,660.3148545508701,228.36713717327285
48,256.401,105.649,642.26859070166,238.50606858420713
49,105.032,105.661,537.1643923863735,193.8423843132985
50,90.752,105.836,547.7720323545509,195.18137154339075
51,179.582,106.149,504.56687435873005,194.57160529599278
52,74.673,106.245,561.34061164222,198.6410156427818
53,334.352,106.316,706.261242107312,240.82516924064677
54,227.339,106.333,573.4873675715002,216.4074648262163
55,118.164,106.374,525.1238353966,193.83389598348367
56,52.759,106.387,588.5879466931,206.71821474733804
57,60.144,106.437,578.2910216150302,203.59012738329838
58,162.065,106.475,497.88969204268005,194.18099064865058
59,32.664,106.488,619.9616287092999,216.09003067191256
60,20.726,106.489,639.61210328192,221.94380904408465
61,352.372,106.73,683.0099588502901,234.1388559543088
62,241.695,107.027,603.9393043743701,226.62974652786653
63,111.774,107.04,529.0119445228999,192.55106846364674
64,234.17,107.372,585.86622887885,220.39251917787897
65,97.54,107.408,539.1855742664659,192.52381959987204
66,308.577,107.462,715.0057714283001,243.5055287295231
67,326.524,107.682,708.4479642566849,240.669437345974
68,190.35,107.684,510.25306698437987,194.58385760857513
69,318.006,108.184,711.2856370239,241.35810595802306
70,213.733,108.204,542.6414284715,204.77408210243237
71,154.708,108.395,494.942930173821,192.56770787929284
72,201.613,108.475,522.3416399806998,197.68666326299717
73,3.089,108.655,661.58619433336,227.09210204649398
74,267.422,108.755,658.66075589413,239.42042767215025
75,172.887,108.94,495.10200487316996,190.9980236018013
76,128.845,109.153,509.7745375510001,191.90017740803796
77,345.45,109.21,684.2017979993499,232.95316951173896
78,38.359,109.335,603.13183497,209.65055981802666
79,146.809,109.662,495.5261919474609,191.65936048619838
80,14.112,109.92,640.4293500458801,220.29828505999737
81,42.262,11.244,396.3567757320001,48.88940594270692
82,6.126,11.36,409.5007664054,56.473547094076466
83,283.449,110.001,685.5554945843999,240.93484537085007
84,138.247,110.034,499.990778490792,191.25991430258674
85,25.742,110.274,620.6122838883001,214.31316008831436
86,86.353,110.309,540.8378157958199,190.74186711568458
87,302.817,110.382,702.9660523087999,239.36797615229796
88,66.359,110.537,560.2548516668298,196.08852528582838
89,248.053,110.662,608.3449437591,225.77298722184716
90,183.746,110.844,497.27014843002,189.42012536045485
91,219.596,110.859,546.7680116984,205.0451099792447
92,274.898,111.039,666.5348080076186,237.85190084897283
93,338.12,111.239,685.9893898155851,232.19401405353454
94,165.874,111.399,487.64299059546994,187.9507121743148
95,44.597,111.413,587.3155813741,203.65824334025322
96,356.359,111.568,661.79174014723,225.2294173116936
97,261.727,111.628,636.59067159971,232.16705651327743
98,103.456,111.656,524.1340192296701,186.79324184123544
99,289.944,111.952,686.4753999401,237.41701285850246
100,296.518,111.968,692.6421662331999,236.96799175707963
101,122.962,112.03,507.73474089010006,187.44197640274953
102,194.953,112.0,505.06016338899997,190.31783351455422
103,206.785,112.141,520.8556198742999,195.2078969196377
104,254.981,112.255,619.1303857131401,227.46418989451232
105,58.644,112.351,564.7998982029001,196.32359581765581
106,51.374,112.51,574.1547622243,199.0330525151235
107,80.247,112.594,540.13173577476,188.94183505315118
108,330.287,112.641,687.7567383091297,231.64439904118507
109,73.296,112.657,546.6790617216699,190.77788789523666
110,94.363,112.692,528.2007410221939,186.1198895852385
111,226.001,112.694,553.6067298082,206.26291347296936
112,312.774,112.6,696.1063913111001,234.54445575405262
113,240.294,112.955,583.5026809832999,216.42068634716713
114,321.868,113.195,690.8854824984999,232.20815936158604
115,7.449,113.24,639.61163514626,217.78319103987798
116,158.438,113.379,482.89582282374994,185.64038653731984
117,232.924,113.488,565.6188437589701,210.05630999324782
118,109.929,113.543,514.1395210228662,184.17745845621639
119,31.248,113.569,601.3526118588,206.4199992486034
120,116.56,113.574,508.8673614081,184.58575392233737
121,176.927,113.782,485.6033741171301,184.54909326094642
122,18.993,114.011,619.0633308728002,211.30560131414558
123,349.315,114.158,661.4811991288102,223.09489447969761
124,132.847,114.405,493.5674038399,184.90664759624434
125,150.494,114.701,481.6760160220908,184.18206791899826
126,141.982,115.142,484.92790540599333,183.92143354387153
127,212.473,115.279,521.1282831735,193.31950592864013
128,270.055,115.324,640.829175013355,228.35865876118206
129,188.218,115.391,489.02763464670005,183.28999316209456
130,280.134,115.583,658.4286758476999,230.0229836081231
131,306.791,116.009,681.0014201206999,228.41740312280405
132,199.993,116.0,500.33925973109996,185.86565718243986
133,37.296,116.228,582.9206841690001,198.95191894462658
134,341.852,116.283,662.086735520959,221.53772372500055
135,0.576,116.342,637.88823075766,214.71856795577702
136,169.767,116.372,475.82926983586003,180.3203333337566
137,65.827,116.591,543.01834295894,186.78921964345736
138,88.953,116.614,520.85551451858,180.7891089619633
139,247.622,116.737,586.7208336719201,214.2831666757057
140,99.555,117.098,511.3725054852357,178.75538555524145
141,12.195,117.612,615.8991573128701,207.3912675381328
142,24.373,117.703,597.1407926700001,201.89582867083112
143,218.713,117.736,524.2449614670999,192.75429867017084
144,126.682,117.752,488.75450800970003,178.88489978313328
145,333.891,117.771,663.1646012423679,220.42531853621074
146,316.363,117.946,672.1549118247998,223.17064365346067
147,263.381,117.9,616.5900568930501,220.39369832309637
148,43.883,118.078,566.4429758778,192.5065242454494
149,286.411,118.143,656.2645277324999,224.87593835610542
150,300.192,118.198,668.1998176898999,224.1311729495298
151,325.396,118.413,666.2198868703,220.73774935328362
152,255.6,118.42,597.74385848681,215.4731395905924
153,162.163,118.468,468.94463149696,177.07440955857314
154,58.322,118.519,545.5371215636003,185.93850909837712
155,181.241,118.542,474.9538715764,177.05781471838247
156,81.85,118.751,519.84120684775,178.41731852366956
157,73.831,118.776,527.2052058637599,180.3912604778181
158,50.941,118.918,553.6925246725,188.0095670105593
159,293.259,118.966,659.0432042015999,222.63739190823568
160,240.137,119.099,561.5413972816,204.31477118404837
161,353.355,119.106,635.8062437545501,211.50271202091383
162,225.483,119.333,530.8125778975,193.63161101597615
163,205.568,119.567,496.8062251911999,181.83166284289328
164,105.864,119.666,498.27194057169,174.06291691262115
165,193.122,119.7,481.1315534433999,176.9504816064796
166,136.27,119.843,475.46635390781694,175.79253141802246
167,232.684,119.865,543.0864161974201,197.5087116222786
168,119.902,119.866,487.2269632657001,174.46562185309688
169,154.049,119.894,466.10651742833704,175.08748766476216
170,274.554,120.164,628.5283669823604,218.71333584206306
171,145.407,120.439,468.0121971299138,174.6203897208474
172,112.814,120.553,490.23043816190005,172.6873177609246
173,30.327,120.863,575.6467478349,192.70318610370262
174,5.158,120.977,611.7347613560702,202.9299530715811
175,173.878,121.329,462.68378777267,171.46510181517513
176,345.675,121.387,634.1772795808698,208.6385804873413
177,93.418,121.42,501.427536425718,171.48195839590463
178,17.452,121.669,591.1760836077999,196.38013914850805
179,309.985,121.736,653.7057544606,214.95222051272393
180,211.745,122.56,495.75569544879994,178.85658291799479
181,66.769,122.643,520.7757625460001,174.86005427940506
182,248.735,122.749,564.8718621433302,201.45570088463444
183,337.468,123.014,634.773909854685,207.12788175289458
184,185.97,123.141,463.471486268,168.69472909067937
185,266.972,123.175,600.23827689791,209.05743799196298
186,36.888,123.335,556.0301792997001,184.45423021021145
187,319.527,123.456,643.4537505213,209.4065957844922
188,280.536,123.501,621.9001893686,211.32170011985218
189,129.649,123.557,467.83420317279996,168.12330599814257
190,166.021,123.604,453.54395789760997,167.10033046522597
191,198.585,123.663,474.0418902295,170.72261742147734
192,328.729,123.783,637.3025060348451,207.02680109910003
193,357.717,123.985,607.42805834888,198.40774460556506
194,85.361,124.051,498.09190365611005,167.34195125741007
195,258.028,124.125,578.01008598273,202.95935006558963
196,302.838,124.348,637.7000404377,208.8602415118631
197,76.12,124.527,504.27808596995004,168.2742627921063
198,59.239,124.79,520.8375153739,172.61223719131607
199,218.538,124.815,498.32498142459997,177.6926458180934
200,99.42,124.827,484.6249203456285,164.18014459774002
201,44.012,124.94,539.2444149496001,177.84567927488052
202,157.609,125.188,448.7222090348269,164.32991661965312
203,23.335,125.288,566.5278390333002,185.37129488630927
204,241.285,125.306,538.3676569477701,190.5063354873171
205,287.595,125.318,621.1815744514998,206.92084535219783
206,10.254,125.379,584.2068846853999,190.3196637585659
207,139.285,125.426,455.33593729742,164.61079068265855
208,51.547,125.489,527.3108709616,173.75227638430144
209,295.217,125.587,626.4149256782999,205.97348388462655
210,148.662,125.875,448.91676308864294,163.31063319733107
211,122.245,126.065,463.9324941902,162.26958532938318
212,225.87,126.149,505.2420881946,178.5767847564503
213,178.365,126.2,448.7241446603,161.66164964906184
214,233.55,126.374,518.5519924096,182.89943107584148
215,349.744,126.491,603.89441625249,194.386470533584
216,106.579,126.767,471.93095257034,159.92319750769488
217,204.72,127.148,468.84153959009984,165.3207699268918
218,114.383,127.175,465.05108394039996,159.33414726273452
219,272.329,127.397,588.3587335924632,199.06710364626872
220,191.275,127.48,452.91234808900003,160.35451320219602
221,312.597,127.555,621.3585632526001,199.1070639181477
222,341.168,128.318,602.86501003178,191.87566603300817
223,29.925,128.319,543.2731409769,175.09524701322084
224,90.664,128.387,477.07501745556306,157.088956477972
225,69.28,128.525,494.7579093256999,160.95854143524588
226,251.473,128.53,543.69790489622,187.76138750514133
227,2.573,128.714,577.2255144055099,184.2120803244893
228,170.175,128.724,437.00822438723003,155.90238574075633
229,322.409,129.09,610.3993891602,193.34636447711418
230,262.274,129.213,560.8935377578699,190.66460626540587
231,332.011,129.261,604.5180719025049,191.18388438183152
232,16.025,129.433,556.3713713319,177.43663802804542
233,132.042,129.436,445.1249127206,155.30702325152583
234,80.209,129.74,479.6995221971601,155.5364567041434
235,211.597,129.994,467.05303164489993,161.51892556471788
236,316.008,13.078,423.97160574220004,69.49939754121402
237,217.843,13.301,385.38536164019996,59.49427936716602
238,187.575,13.616,372.93326839940005,53.76314446031921
239,289.715,13.842,422.960195657,72.73613351871288
240,279.256,130.388,582.0001999023001,191.51754316206464
241,304.675,130.471,602.6002882056999,191.3469742918048
242,161.335,130.531,429.93480933701994,152.04177056920426
243,37.23,130.587,522.9020855302999,166.37579225806869
244,183.416,130.897,434.6354130296999,151.21215979602593
245,61.578,131.008,491.99503214440006,157.0125208741605
246,142.03,131.123,433.64284657839,151.53969070209374
247,151.893,131.407,428.5191614397394,150.43897454520248
248,243.926,131.409,515.0879159776899,175.49862201129667
249,197.322,131.433,443.9868983806001,152.49003079634562
250,354.245,131.526,571.31066285653,178.74683508561768
251,97.614,131.553,459.08550817561746,149.1268494327297
252,45.138,131.906,506.5663977506,159.98249170025716
253,287.371,131.959,582.2246404531999,187.44417867309298
254,296.075,131.985,588.7337314578999,187.1596513178127
255,219.194,132.021,469.87169352829994,160.11668816304567
256,53.385,132.096,496.0943393834999,156.75702731358925
257,123.769,132.221,439.3313567051,148.14849841522792
258,235.737,132.881,493.0913591132999,166.6410350898319
259,22.618,132.996,529.5847062054,165.0213704328772
260,227.348,133.041,477.9745215042001,161.42289212404455
261,8.13,133.189,546.3755714280001,169.46865127592858
262,105.868,133.329,445.97366245037995,144.6506667948583
263,268.396,133.447,548.13430831299,179.6672452100713
264,314.757,133.45,584.913066251,181.04469071300505
265,114.832,133.56,439.3435275815999,144.3678267858907
266,345.177,133.627,568.36815515438,174.98367512959013
267,174.832,133.758,420.40938881840003,143.86388613919112
268,256.039,133.863,524.8164119594198,174.03705739324917
269,73.584,134.028,467.1102462299,146.1771789944339
270,86.205,134.169,456.28544071005,143.63937767750534
271,335.407,134.802,568.6965403628711,173.42939443245098
272,325.143,134.819,573.9061560668,175.20345659240485
273,204.258,134.847,438.1691079278,145.9570553744908
274,189.255,135.308,422.3212538108,140.97155583832924
275,133.972,135.38,421.49633615694495,140.62266705200724
276,165.43,135.866,411.00613483985,138.62728309031095
277,30.127,135.891,505.4727540867001,153.9726393479835
278,359.418,136.404,537.80649102916,162.24411567250434
279,276.335,136.537,541.2387543804372,171.28494119764397
280,305.788,136.58,563.7059237786002,171.78614960051644
281,144.639,136.905,411.1909155932599,136.73780092007178
282,65.665,136.981,461.3181212659,140.06485818689876
283,155.275,136.994,407.62205261864,136.0590484878071
284,248.391,137.205,493.74960733887997,160.05920365811767
285,14.613,137.277,516.3456243941,154.90200761016882
286,94.121,137.513,436.37214879757397,134.25422616421653
287,212.157,137.532,436.84239023969997,141.70652203377242
288,38.523,137.917,485.2431661263,145.15922443864906
289,285.736,138.193,541.2413248082,166.7844797161535
290,295.862,138.215,548.3971323040998,166.73132518946343
291,124.526,138.348,414.7219509619,132.37224368365543
292,262.692,138.468,510.35447245302,161.44060760383925
293,56.813,138.59,462.48120795000006,137.8113289294032
294,180.26,138.61,404.9058720341,131.41505405162076
295,47.57,138.872,470.6450932569,139.58804145686184
296,349.743,138.876,532.63977451497,156.87062838431336
297,79.985,138.878,440.6905625279501,132.02162238062868
298,239.63,139.217,469.0850287186,149.50087069393464
299,220.933,139.279,441.03715814450004,140.5294260677839
300,196.127,139.286,412.8719127139001,131.67925671282572
301,316.554,139.407,546.0393719074,161.09579728386163
302,103.669,139.455,422.06541645998004,128.80673481252168
303,114.136,139.754,414.7095545174745,128.18856359555204
304,230.271,139.889,451.3554538679001,142.83878268604477
305,118.792,14.216,371.73700373120005,48.82907249170943
306,143.719,14.398,367.754496739321,50.15163878890329
307,69.115,14.964,386.83648572489994,55.221289018358924
308,339.133,140.363,531.256169464585,154.16931311729098
309,327.885,140.614,535.4606055078918,155.3145046516488
310,22.242,140.799,488.7829447007,141.4186148494505
311,5.569,141.009,504.88804358899995,145.56285501519838
312,170.174,141.124,393.31041447607,124.49473160799084
313,135.51,141.376,398.34986443941,124.34899233888738
314,271.58,141.986,502.038878741297,151.5287518924864
315,255.144,142.412,476.90964346129,145.45004699297525
316,71.99,142.451,431.72218514879995,123.28445378120364
317,159.049,142.591,387.89755185690404,120.59363515027913
318,204.25,142.636,407.89481030769997,124.404497587497
319,306.164,142.677,523.3297941648999,150.73713416652393
320,88.725,142.717,418.38446837077,120.396968062317
321,147.267,142.747,389.51101663087275,120.41052535013375
322,186.806,143.152,392.5489086152999,119.55755905236082
323,31.137,143.537,465.35943030149997,130.09775477923284
324,355.216,143.973,497.31404607188,138.28154682599137
325,282.456,144.027,501.1806413508999,145.89808468007521
326,294.428,144.282,507.8886734545,145.3866798931591
327,124.457,144.444,391.988650084,115.3575309735142
328,62.433,144.759,429.82825845689996,118.38499379837857
329,213.704,145.122,408.34144334650006,120.23261162500592
330,99.694,145.129,402.18661748619996,113.13083512938131
331,245.857,145.144,449.52019725499986,132.70386334750023
332,13.069,145.176,474.47512554989993,129.69784873908438
333,41.18,145.242,446.9911808510001,121.92676216949147
334,318.059,145.415,506.3977315269,139.83648862453512
335,51.882,145.692,435.04852711880005,117.89455518811972
336,112.08,145.751,393.20478899327003,111.37859790028595
337,343.513,145.887,494.07965942078005,134.11198692813872
338,175.975,146.208,378.39921904460004,110.30259169591481
339,330.844,146.448,496.87596199126415,134.3573414175346
340,224.265,146.486,415.30186882749996,120.02296200777272
341,235.288,146.521,428.7981292411001,124.0010896134178
342,264.668,146.638,466.83230197564,133.4311346384361
343,81.134,147.041,406.62873143629,108.7180226609592
344,194.883,147.198,384.59497450870003,109.25902779372093
345,136.698,147.414,377.84358500919996,106.93614296522448
346,163.586,148.142,371.11177568467,104.66761196818473
347,150.136,148.623,370.8839058370658,103.35389152649788
348,22.29,148.674,448.3394919573,115.7532214803755
349,305.674,148.75,484.27049986199995,129.03391582759448
350,2.103,148.787,464.74366279120005,120.18010072117374
351,277.061,149.378,464.642927667348,125.87410559677465
352,339.997,15.096,426.62504460007,73.53139168807125
353,291.394,150.148,470.3364868078,124.19386632249034
354,93.425,150.239,388.13159338433206,98.65578607766071
355,71.177,150.265,401.64920597839995,100.43447828053635
356,255.306,150.285,437.30527267509996,118.14990906234603
357,204.875,150.488,382.4093288522,101.83213672355839
358,123.352,150.493,373.4789345598802,97.69045126516772
359,183.429,150.966,368.4581075031999,97.17687333141197
360,349.069,151.292,460.1715520902699,114.20458972645832
361,33.41,151.2,427.6882888826001,104.89579455434469
362,319.333,151.463,469.42486313140006,118.17798236955706
363,108.183,151.492,377.06484480989997,94.73955121549429
364,59.145,152.123,403.9595264445001,96.7346216077099
365,334.364,152.287,461.621568605325,113.24223648249591
366,46.067,152.428,412.747623653,98.24973184296356
367,243.556,152.646,414.1933101205001,106.73978613102399
368,216.868,152.69,386.79012401479997,98.52577890567736
369,11.1,153.106,436.95168659539996,103.65371633176981
370,230.236,153.47,397.16383347630006,99.95693975852318
371,137.551,153.486,361.92564485810004,88.80756332299838
372,169.511,153.553,359.54412831791996,89.01715377477348
373,268.819,154.054,433.8880855530901,107.94454079203165
374,153.631,154.503,357.41660698404297,85.91918582079573
375,84.144,154.553,381.06137240114003,86.53144467635894
376,303.985,154.777,450.0441225368001,107.65550863795826
377,193.36,155.151,364.6236457404,86.30980016608571
378,285.996,155.712,438.2603747718,104.05572338061567
379,356.699,156.433,431.14819022029997,95.40505763800141
380,120.72,156.46,361.1956375722,79.92623087005613
381,22.993,156.597,414.2309493067999,89.789190562714
382,101.521,156.839,367.4533789274001,79.09472496769821
383,320.45,157.542,437.465219561,96.99990551256148
384,71.24,157.696,380.2890393627699,78.29456428146419
385,256.892,157.713,408.55513250414003,93.20669769004009
386,339.109,158.078,431.32554337988995,92.83788149267114
387,206.621,158.371,366.3074456732001,79.31702139039854
388,177.951,158.66,353.48327758614,74.56207526608483
389,38.09,158.786,396.77943465989995,79.86573792258208
390,55.127,159.204,385.4481967228001,75.76811407861496
391,138.045,159.582,352.0289892179,70.28959392962736
392,241.098,159.869,388.2668888374,82.67984683335611
