,theta,phi,flux,std
0,194.582,1.139,15126.576072862974,195.02686591414206
1,254.752,10.945,15717.52955238664,269.89009744284317
2,192.506,100.056,20516.308590263274,1210.0662863183525
3,138.521,100.311,19338.063067111114,1204.1870708244737
4,229.478,100.365,21456.40653677461,1220.3977483902515
5,129.184,100.651,19311.592133651015,1198.0518084077294
6,55.088,100.689,21001.910990247008,1195.666921539283
7,111.561,100.68,19429.7050984321,1198.1799031149728
8,62.881,100.945,20690.783030104092,1208.2537932470782
9,5.441,100.969,22542.37394505365,1165.4735771716223
10,97.92,101.088,19641.089300558153,1204.9354517554718
11,203.509,101.126,20801.641395069844,1199.0231028606843
12,175.608,101.38,19987.801209689864,1215.8624618008348
13,215.523,101.399,21109.914627851715,1202.662555777242
14,244.414,101.484,21728.884777566753,1219.6701962945667
15,86.346,101.487,19905.89172216632,1211.3121169539356
16,330.428,101.577,22788.102155435878,1226.330208113403
17,158.221,101.662,19555.56064975552,1210.9529250262524
18,236.409,101.662,21563.430070577917,1217.7308485001358
19,348.493,101.898,22702.41124628947,1206.2642312914325
20,16.122,102.337,22284.150702608047,1134.7484039544568
21,303.501,102.592,22662.92545975337,1209.981109878621
22,40.049,102.731,21530.93799302479,1147.9002925923385
23,322.475,102.959,22739.57157529772,1218.3727805733715
24,27.475,103.044,21947.42169472946,1126.2333655800903
25,186.078,103.15,20249.08668283555,1200.5405877623696
26,313.652,103.448,22694.840980268033,1211.4364588821293
27,271.172,103.548,22179.859243930747,1200.549701550783
28,150.851,103.578,19383.31912326253,1196.1287463828226
29,358.995,103.942,22531.367625285395,1168.7881154916895
30,284.396,103.973,22384.848395029196,1195.90776366503
31,262.503,104.009,22000.24633970253,1200.7430880842655
32,168.993,104.087,19736.284584300847,1201.6430011905954
33,124.014,104.136,19240.51453283115,1178.9685735910837
34,221.141,104.26,21156.901025663363,1192.1382120107319
35,341.633,104.327,22652.316496056716,1203.370879534709
36,196.883,104.411,20522.041437502063,1184.1833317567975
37,68.442,104.628,20380.055423449834,1194.5059406605
38,250.139,104.658,21735.32180615807,1200.6611935347564
39,297.697,104.847,22518.792448367723,1193.7634903088806
40,142.863,104.84,19256.80825990877,1183.2312542088662
41,208.39,104.911,20818.516357187316,1178.7543966426508
42,46.086,105.043,21222.6723258106,1150.6494549517718
43,134.048,105.176,19199.748201353897,1175.979194493712
44,80.913,105.409,19947.68120384199,1191.9708247182116
45,277.37,105.438,22212.72600956726,1187.3307081138648
46,291.29,105.493,22416.992946273,1187.3364662516549
47,9.63,105.542,22301.18206316718,1129.5143659787875
48,256.401,105.649,21818.38070767242,1192.380216080005
49,105.032,105.661,19387.91070877918,1174.9742851374756
50,90.752,105.836,19669.005389101483,1184.1514019683698
51,179.582,106.149,19963.340128143293,1186.4724600077866
52,74.673,106.245,20113.58528722485,1187.0318551272455
53,334.352,106.316,22591.378202860462,1196.4798192263831
54,227.339,106.333,21215.41970001268,1184.0255893207316
55,118.164,106.374,19208.877101695383,1165.0577595040515
56,52.759,106.387,20911.302822272974,1159.0614322100055
57,60.144,106.437,20623.506487562423,1173.4071640791653
58,162.065,106.475,19498.100303248917,1184.3033343778477
59,32.664,106.488,21647.979328433776,1111.8943561003503
60,20.726,106.489,22004.91291325503,1106.4784808975694
61,352.372,106.73,22477.42992523541,1168.180424926236
62,241.695,107.027,21474.299446043842,1185.204785072743
63,111.774,107.04,19249.46292220537,1162.289116490933
64,234.17,107.372,21311.28443340955,1180.804367939671
65,97.54,107.408,19463.718247037024,1168.543616013875
66,308.577,107.462,22486.39313050946,1182.005848251325
67,326.524,107.682,22532.762891692728,1188.1045718796895
68,190.35,107.684,20218.466707157768,1167.5258384609408
69,318.006,108.184,22492.9794543787,1181.8670814442564
70,213.733,108.204,20824.31516114265,1158.648531721545
71,154.708,108.395,19290.373930831913,1166.4672573198106
72,201.613,108.475,20498.740092572734,1154.1550008726506
73,3.089,108.655,22261.8176340887,1125.1383092799388
74,267.422,108.755,21881.8802237366,1165.6943913025143
75,172.887,108.94,19671.723712489613,1168.0149812546777
76,128.845,109.153,19062.07528705585,1146.0489900586977
77,345.45,109.21,22399.165514538578,1163.0564411908827
78,38.359,109.335,21321.681701108093,1102.5714218445462
79,146.809,109.662,19132.81403389075,1151.421377898395
80,14.112,109.92,21993.867425179167,1089.685423851461
81,42.262,11.244,15632.94312761079,253.8610375269961
82,6.126,11.36,15860.90464380988,262.44770035631643
83,283.449,110.001,22080.87289936683,1152.7317558946575
84,138.247,110.034,19047.291299626784,1143.1488469589578
85,25.742,110.274,21676.687276719742,1079.0479729522485
86,86.353,110.309,19609.76934505894,1153.9778489335329
87,302.817,110.382,22282.645112196995,1155.4538002186887
88,66.359,110.537,20220.676978044517,1150.2827116132225
89,248.053,110.662,21419.610139583332,1155.5847640935135
90,183.746,110.844,19894.73284069787,1147.7062524386508
91,219.596,110.859,20838.27549420022,1141.7212238763227
92,274.898,111.039,21885.961339527938,1144.561465367135
93,338.12,111.239,22313.855800766352,1154.6865112910477
94,165.874,111.399,19392.93951040522,1146.8358592414202
95,44.597,111.413,20989.677734581717,1100.8423016547888
96,356.359,111.568,22177.797273881606,1119.5751707133068
